NR,RA,DEC,X,Y,V,Age
1000139,84.721664,-69.093506,1556.65,1110.96,23.38,4.5
1000140,84.721352,-69.083679,1566.65,2018.08,22.00,13.9
1000141,84.720825,-69.099792,1584.58,530.57,23.50,11.2
1000142,84.720505,-69.085289,1594.57,1869.72,21.38,9.2
1000143,84.720299,-69.078484,1601.09,2497.99,21.17,5.3
1000144,84.720146,-69.078491,1606.23,2496.96,22.74,7.7
1000145,84.720062,-69.066246,1608.22,3627.22,19.65,3.9
1000146,84.719864,-69.068039,1614.98,3461.62,19.51,4.0
1000147,84.719467,-69.082153,1628.58,2159.20,21.04,7.9
1000148,84.719185,-69.079521,1637.83,2401.61,23.16,19.6
1000149,84.718491,-69.075363,1660.49,2785.45,20.98,8.6
1000150,84.718269,-69.091667,1668.60,1281.08,21.10,8.6
1000151,84.718224,-69.065956,1668.95,3653.98,22.21,13.1
1000152,84.717819,-69.095482,1683.41,928.61,22.91,12.3
1000153,84.717728,-69.090446,1686.29,1393.83,24.46,48.2
1000154,84.717567,-69.098564,1692.02,643.94,21.84,8.6
1000155,84.717384,-69.078789,1697.06,2469.36,25.02,35.5
1000156,84.717285,-69.054558,1699.41,4705.86,22.66,12.6
1000157,84.717186,-69.078171,1703.68,2526.67,23.76,16.3
1000158,84.717094,-69.073158,1706.42,2989.31,19.69,4.4
1000159,84.716942,-69.070213,1711.31,3260.79,21.53,7.1
1000160,84.716759,-69.098717,1718.47,630.42,20.27,6.4
1000161,84.716469,-69.086678,1727.64,1741.21,18.65,1.6
1000162,84.716347,-69.083328,1731.47,2050.87,20.07,2.8
1000163,84.716209,-69.081268,1735.87,2241.04,22.66,1.0
1000164,84.715790,-69.092873,1750.27,1169.84,22.96,5.2
1000165,84.715477,-69.093102,1760.55,1148.27,23.26,4.5
1000166,84.715347,-69.090950,1764.63,1347.06,24.36,46.7
1000167,84.715149,-69.076210,1770.83,2707.77,24.26,14.0
1000168,84.715027,-69.096283,1775.57,854.59,22.60,11.7
1000169,84.714951,-69.092514,1777.94,1202.73,22.40,15.7
1000170,84.714935,-69.090904,1778.36,1351.01,22.48,10.6
1000171,84.714912,-69.090538,1779.04,1385.22,23.19,19.1
1000172,84.714912,-69.093170,1779.15,1142.44,21.27,4.9
1000173,84.714790,-69.086296,1782.88,1776.82,23.16,6.5
1000174,84.714592,-69.066811,1788.84,3574.83,20.23,0.0
1000175,84.714394,-69.093933,1796.20,1071.72,23.48,39.7
1000176,84.714325,-69.091591,1798.48,1287.89,22.61,32.4
1000177,84.714233,-69.074120,1800.93,2900.79,22.49,3.2
1000178,84.713715,-69.097252,1818.76,765.15,20.75,8.2
1000179,84.713646,-69.073448,1820.24,2962.67,20.00,5.0
1000180,84.713486,-69.086555,1825.90,1752.56,20.51,0.6
1000181,84.712845,-69.070930,1846.62,3195.04,20.82,4.5
1000182,84.712830,-69.090385,1847.60,1399.29,24.02,25.7
1000183,84.712677,-69.084633,1852.58,1930.22,22.78,12.3
1000184,84.712212,-69.081970,1867.66,2176.26,23.86,30.2
1000185,84.712105,-69.084007,1871.42,1987.59,21.16,1.0
1000186,84.712074,-69.084663,1872.44,1927.59,23.06,37.1
1000187,84.711868,-69.085190,1879.24,1878.87,21.52,10.0
1000188,84.711868,-69.084740,1879.27,1920.19,22.32,32.0
1000189,84.711830,-69.072952,1879.95,3008.48,20.40,6.4
1000190,84.711823,-69.095551,1880.99,922.55,21.12,4.8
1000191,84.711174,-69.075264,1901.64,2794.64,20.99,8.0
1000192,84.710968,-69.091957,1909.11,1254.44,24.37,7.0
1000193,84.710388,-69.085144,1927.86,1882.75,22.36,8.4
1000194,84.710388,-69.093063,1928.17,1152.29,21.85,15.5
1000195,84.710258,-69.077271,1932.07,2609.72,22.68,36.3
1000196,84.710228,-69.076347,1932.88,2694.74,22.50,15.1
1000197,84.709908,-69.097778,1944.14,716.63,23.56,4.1
1000198,84.709885,-69.074448,1944.17,2870.04,23.05,20.9
1000199,84.709877,-69.101433,1945.35,379.54,23.80,2.8
1000200,84.709808,-69.091888,1947.22,1260.80,22.60,7.9
1000201,84.709763,-69.077080,1948.32,2627.25,21.07,8.0
1000202,84.709610,-69.077263,1953.46,2610.80,21.43,2.6
1000203,84.709503,-69.090240,1957.32,1412.54,22.10,14.0
1000204,84.709450,-69.056931,1958.02,4487.41,22.60,5.2
1000205,84.709412,-69.076263,1959.94,2702.53,23.59,8.2
1000206,84.709335,-69.091774,1962.79,1271.29,22.01,15.7
1000207,84.709206,-69.079376,1966.73,2415.64,23.78,40.5
1000208,84.709137,-69.096352,1969.45,848.82,22.71,17.0
1000209,84.709000,-69.065384,1973.18,3707.17,23.03,13.5
1000210,84.708923,-69.078400,1975.93,2505.24,24.49,18.5
